© 2000-2021 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cell Cycle	Ploidy of cells	1.40E-05	 	0.536	AURKB,BIRC5,CDC20,CENPH,MAD2L1,NDRG1,NEK2,PIM1,PLK1,PTTG1	10
Cell Cycle,Reproductive System Development and Function	Meiosis I of oocytes	1.67E-05	 	 	CDC20,CDC25B,MAD2L1,PTTG1	4
Cell Cycle,Reproductive System Development and Function	Meiosis of female germ cells	1.70E-05	 	0.728	CDC20,CDC25B,DLGAP5,MAD2L1,NCAPH,PTTG1,REC8	7
Cell Cycle	Arrest in interphase	1.74E-05	 	 	APOBEC3A,BIRC5,CCNB1,CDC25B,FOXM1,H2AX,ID3,LGALS3,LMNB1,MAD2L1,MCM2,MCM7,MYBL2,NDRG1,NFKBIA,NOX4,PIM1,PLK1,PPARG,RASSF3,TYMS	21
Cell Cycle	Metaphase	1.93E-05	 	 	CCNB1,CDC20,CDC25B,PLK1,PTTG1	5
Cell Cycle,Reproductive System Development and Function	Meiosis of oocytes	2.26E-05	 	0.728	CDC20,CDC25B,DLGAP5,MAD2L1,PTTG1	5
Cell Cycle,DNA Replication, Recombination, and Repair	Checkpoint control	2.33E-05	 	-1.067	CCNB1,CCNB2,CDC20,MAD2L1,MCM7,PIM1,PLK1,PTTG1	8
Cell Cycle,Reproductive System Development and Function	Meiosis of germ cells	2.39E-05	 	0.728	CDC20,CDC25B,DLGAP5,HSPA2,MAD2L1,NCAPH,PTTG1,REC8,SIAH1	9
Cell Cycle	Mitosis of colorectal cancer cell lines	2.86E-05	 	 	BIRC5,CDC25B,MAD2L1,PLK1	4
Cell Cycle	Entry into interphase	3.40E-05	 	-0.978	CBX2,CDC20,CDKN2C,FOXM1,ID3,MAD2L1,MCM7,MSLN,MYBL2,PPARG	10
Cell Cycle	Arrest in metaphase	3.64E-05	 	 	CCNB1,CDC20,PLK1,PTTG1	4
Cell Cycle	Interphase of gonadal cells	6.74E-05	 	 	CDC20,FOXM1,MAD2L1	3
Cell Cycle	Polyploidy of cells	6.94E-05	 	0.068	BIRC5,NDRG1,PIM1,PLK1	4
Cell Cycle	S phase of tumor cell lines	7.08E-05	 	-0.239	FOXM1,LMNB1,MCM7,MSLN,MYBL2,PCLAF,PLK1,PPARG,TYMS	9
